text,category
Ginger Hotel Lodging expense Ginger Hotel for offsite,Accommodation
Office Depot Office paper and files from Office Depot,Office Supplies
Health Checkup Centre Doctor consultation at Health Checkup Centre,Medical
Ginger Hotel Hotel stay at Ginger Hotel for conference,Accommodation
Miscellaneous Vendor Annual membership fee Miscellaneous Vendor,Other
Laundry Express Postage and mailing Laundry Express,Other
Croma Stationery order from Croma,Office Supplies
Air India Flight ticket booked through Air India,Travel
Ola Auto Taxi fare Ola Auto for client visit,Travel
OYO Rooms Checked in at OYO Rooms for training,Accommodation
Disney Hotstar Concert passes from Disney Hotstar,Entertainment
Metropolis Labs Clinic visit charges Metropolis Labs,Medical
Laundry Express Miscellaneous purchase at Laundry Express,Other
Uber Commute to client site using Uber,Travel
Gift Shop Laundry service Gift Shop during travel,Other
Big Bazaar assorted household items Big Bazaar,Other
Bank Service Charge Laundry service Bank Service Charge during travel,Other
HP Store Desk organizer purchase HP Store,Office Supplies
Manipal Hospital Health checkup at Manipal Hospital,Medical
Manipal Hospital First aid supplies from Manipal Hospital,Medical
Reliance Digital Bought a monitor stand from Reliance Digital,Office Supplies
Smaaash Streaming subscription Smaaash,Entertainment
KFC Working lunch ordered via KFC,Food
Manipal Hospital Clinic visit charges Manipal Hospital,Medical
Fortis Hospital Health checkup at Fortis Hospital,Medical
stay reimbursement,Accommodation
Bic Supplies Office paper and files from Bic Supplies,Office Supplies
OYO Rooms Overnight stay OYO Rooms near client office,Accommodation
Walmart over the counter medicines from Walmart pharmacy,Medical
Whitebook Stationers New keyboard and mouse from Whitebook Stationers,Office Supplies
Cloudnine Clinic Health checkup at Cloudnine Clinic,Medical
PVR Cinemas Team outing movie tickets on PVR Cinemas,Entertainment
Flipkart Wholesale Toner refill Flipkart Wholesale,Office Supplies
OYO Rooms Business trip lodging OYO Rooms,Accommodation
Whitebook Stationers Desk organizer purchase Whitebook Stationers,Office Supplies
Apollo Pharmacy Health checkup at Apollo Pharmacy,Medical
Radisson Blu Hotel invoice from Radisson Blu,Accommodation
Paper Plus Office paper and files from Paper Plus,Office Supplies
FabHotels Accommodation booked at FabHotels,Accommodation
Wellness Forever Purchased medicines from Wellness Forever,Medical
Manipal Hospital Doctor consultation at Manipal Hospital,Medical
Meru Cabs Train reservation via Meru Cabs,Travel
Meru Cabs Intercity travel booked on Meru Cabs,Travel
Radisson Blu Checked in at Radisson Blu for training,Accommodation
Chai Point Working lunch ordered via Chai Point,Food
Reliance Digital Office paper and files from Reliance Digital,Office Supplies
Stationery Mart New keyboard and mouse from Stationery Mart,Office Supplies
Lemon Tree Hotel Lodging expense Lemon Tree Hotel for offsite,Accommodation
Game Zone Arcade Booked show tickets via Game Zone Arcade,Entertainment
DTDC Photocopy and printing at DTDC,Other
refreshments for meeting,Food
Ola Cabs Fuel refill at Ola Cabs,Travel
Big Bazaar general store bill Big Bazaar,Other
Chai Point Snacks and beverages from Chai Point,Food
Amazon movie rental on Prime Video,Entertainment
Guest House Stay Two night stay at Guest House Stay,Accommodation
Haldirams Client hospitality meal at Haldirams,Food
RedBus Fuel refill at RedBus,Travel
1mg Health checkup at 1mg,Medical
Third Wave Coffee Cafeteria refreshments Third Wave Coffee,Food
Reliance Digital Stationery order from Reliance Digital,Office Supplies
PVR Cinemas Booked show tickets via PVR Cinemas,Entertainment
Barbeque Nation Snacks and beverages from Barbeque Nation,Food
Bic Supplies Stationery order from Bic Supplies,Office Supplies
Indian Oil Flight ticket booked through Indian Oil,Travel
OYO Rooms Guest house booking OYO Rooms,Accommodation
Taj Hotels Room booking at Taj Hotels during business trip,Accommodation
Bic Supplies Bought a monitor stand from Bic Supplies,Office Supplies
IndiGo Airlines Fuel refill at IndiGo Airlines,Travel
MedPlus Health checkup at MedPlus,Medical
Xerox Shop Annual membership fee Xerox Shop,Other
Gift Shop Repair service payment Gift Shop,Other
Cinepolis Streaming subscription Cinepolis,Entertainment
Apollo Pharmacy Diagnostic test invoice Apollo Pharmacy,Medical
conveyance charges,Travel
Gift Shop Gift for client from Gift Shop,Other
RedBus Cab receipt RedBus for late night travel,Travel
India Post Photocopy and printing at India Post,Other
Treebo Hotels Accommodation booked at Treebo Hotels,Accommodation
Membership Renewal Courier charges paid to Membership Renewal,Other
Concert Tickets Concert passes from Concert Tickets,Entertainment
Membership Renewal Document shipment via Membership Renewal,Other
Ola Auto Intercity travel booked on Ola Auto,Travel
Staples Stationery order from Staples,Office Supplies
India Post Document shipment via India Post,Other
Indian Oil Cab receipt Indian Oil for late night travel,Travel
Reliance Reliance Digital printer purchase,Office Supplies
Amazon Prime Arcade games at Amazon Prime team event,Entertainment
Miscellaneous Vendor Repair service payment Miscellaneous Vendor,Other
Apollo Pharmacy Medical reimbursement Apollo Pharmacy,Medical
Pen Store Office paper and files from Pen Store,Office Supplies
Big Bazaar notebooks and pens at Big Bazaar,Office Supplies
Theobroma Ordered dinner from Theobroma for the team,Food
Netmeds Diagnostic test invoice Netmeds,Medical
Netmeds Purchased medicines from Netmeds,Medical
Smaaash Team outing movie tickets on Smaaash,Entertainment
SpiceJet Intercity travel booked on SpiceJet,Travel
Practo Clinic Medical reimbursement Practo Clinic,Medical
MedPlus Medical reimbursement MedPlus,Medical
Chai Point Ordered dinner from Chai Point for the team,Food
OYO Rooms Room booking at OYO Rooms during business trip,Accommodation
Guest House Stay Guest house booking Guest House Stay,Accommodation
Concert Tickets Team building activity at Concert Tickets,Entertainment
Lemon Tree Hotel Checked in at Lemon Tree Hotel for training,Accommodation
Max Healthcare Doctor consultation at Max Healthcare,Medical
MakeMyTrip Flights Airport transfer with MakeMyTrip Flights,Travel
Croma Toner refill Croma,Office Supplies
Novotel Two night stay at Novotel,Accommodation
Canon Store Stationery order from Canon Store,Office Supplies
Donation Trust Postage and mailing Donation Trust,Other
Dr Lal PathLabs Health checkup at Dr Lal PathLabs,Medical
Bic Supplies New keyboard and mouse from Bic Supplies,Office Supplies
MedPlus Purchased medicines from MedPlus,Medical
Xerox Shop Repair service payment Xerox Shop,Other
Lemon Tree Hotel Hotel invoice from Lemon Tree Hotel,Accommodation
1mg Clinic visit charges 1mg,Medical
Air India Cab receipt Air India for late night travel,Travel
Haldirams Cafeteria refreshments Haldirams,Food
Airbnb Overnight stay Airbnb near client office,Accommodation
DTDC Miscellaneous purchase at DTDC,Other
Marriott Accommodation booked at Marriott,Accommodation
Amazon Prime Subscription renewal for Amazon Prime,Entertainment
Wonderla Arcade games at Wonderla team event,Entertainment
Wow Momo Working lunch ordered via Wow Momo,Food
Taj Hotels Guest house booking Taj Hotels,Accommodation
Dominos Pizza Business lunch at Dominos Pizza with client,Food
Membership Renewal Gift for client from Membership Renewal,Other
Spotify Movie night booked on Spotify,Entertainment
Zomato Cafeteria refreshments Zomato,Food
Laundry Express Document shipment via Laundry Express,Other
KFC Breakfast at KFC during offsite,Food
Wow Momo Coffee meeting at Wow Momo,Food
Novotel Accommodation booked at Novotel,Accommodation
Marriott Hotel stay at Marriott for conference,Accommodation
KFC Snacks and beverages from KFC,Food
Miscellaneous Vendor Bank charges from Miscellaneous Vendor,Other
Amazon Prime Concert passes from Amazon Prime,Entertainment
Locksmith Service Annual membership fee Locksmith Service,Other
Reliance Reliance Trends movie combo tickets,Entertainment
IndiGo Airlines Flight ticket booked through IndiGo Airlines,Travel
RedBus Toll charges paid at RedBus,Travel
Airbnb Guest house booking Airbnb,Accommodation
Indian Oil Intercity travel booked on Indian Oil,Travel
Canon Store Purchased printer cartridges from Canon Store,Office Supplies
Spotify Team building activity at Spotify,Entertainment
Zostel Guest house booking Zostel,Accommodation
Zostel Checked in at Zostel for training,Accommodation
Canon Store Office supplies restock Canon Store,Office Supplies
Practo Clinic Clinic visit charges Practo Clinic,Medical
PVR Cinemas Concert passes from PVR Cinemas,Entertainment
Health Checkup Centre First aid supplies from Health Checkup Centre,Medical
Bank Service Charge Photocopy and printing at Bank Service Charge,Other
BookMyShow Team outing movie tickets on BookMyShow,Entertainment
Guest House Stay Room booking at Guest House Stay during business trip,Accommodation
Dominos Pizza Cafeteria refreshments Dominos Pizza,Food
Walmart food and drinks bought at Walmart,Food
Novotel Checked in at Novotel for training,Accommodation
Ola Cabs Intercity travel booked on Ola Cabs,Travel
MedPlus Diagnostic test invoice MedPlus,Medical
Amazon Business Bought notebooks and pens at Amazon Business,Office Supplies
Health Checkup Centre Bought prescription drugs from Health Checkup Centre,Medical
Meru Cabs Airport transfer with Meru Cabs,Travel
Air India Toll charges paid at Air India,Travel
WH Smith Office supplies restock WH Smith,Office Supplies
Blue Dart Courier Courier charges paid to Blue Dart Courier,Other
Indian Oil Fuel refill at Indian Oil,Travel
PharmEasy Diagnostic test invoice PharmEasy,Medical
Miscellaneous Vendor Photocopy and printing at Miscellaneous Vendor,Other
Repair Services Gift for client from Repair Services,Other
Subway Ordered dinner from Subway for the team,Food
Staples Bought notebooks and pens at Staples,Office Supplies
Flipkart Wholesale Office supplies restock Flipkart Wholesale,Office Supplies
Cinepolis Booked show tickets via Cinepolis,Entertainment
Staples Desk organizer purchase Staples,Office Supplies
HP Store Office supplies restock HP Store,Office Supplies
Amazon Prime Movie night booked on Amazon Prime,Entertainment
Bank Service Charge Document shipment via Bank Service Charge,Other
Gift Shop Bank charges from Gift Shop,Other
FASTag Toll Commute to client site using FASTag Toll,Travel
Bharat Petroleum Taxi fare Bharat Petroleum for client visit,Travel
Disney Hotstar Entertainment expense Disney Hotstar for offsite,Entertainment
Guest House Stay Hotel stay at Guest House Stay for conference,Accommodation
Burger King Snacks and beverages from Burger King,Food
Wonderla Subscription renewal for Wonderla,Entertainment
Wow Momo Snacks and beverages from Wow Momo,Food
Starbucks Food order Starbucks for review meeting,Food
Metropolis Labs Doctor consultation at Metropolis Labs,Medical
Barbeque Nation Food order Barbeque Nation for review meeting,Food
Reliance Reliance Smart food supplies,Food
Pen Store Bought a monitor stand from Pen Store,Office Supplies
Cinepolis Subscription renewal for Cinepolis,Entertainment
Faasos Food order Faasos for review meeting,Food
Barbeque Nation Working lunch ordered via Barbeque Nation,Food
Apollo Pharmacy Lab tests done at Apollo Pharmacy,Medical
Novotel Lodging expense Novotel for offsite,Accommodation
McDonalds Cafeteria refreshments McDonalds,Food
The Leela Accommodation booked at The Leela,Accommodation
Paper Plus Bought a monitor stand from Paper Plus,Office Supplies
McDonalds Client hospitality meal at McDonalds,Food
Stationery Mart Toner refill Stationery Mart,Office Supplies
Bank Service Charge Repair service payment Bank Service Charge,Other
BookMyShow Team building activity at BookMyShow,Entertainment
Dr Lal PathLabs Pharmacy bill at Dr Lal PathLabs,Medical
Burger King Coffee meeting at Burger King,Food
Fortis Hospital Medical reimbursement Fortis Hospital,Medical
Spotify Arcade games at Spotify team event,Entertainment
Netflix Concert passes from Netflix,Entertainment
Cloudnine Clinic First aid supplies from Cloudnine Clinic,Medical
Meru Cabs Taxi fare Meru Cabs for client visit,Travel
Game Zone Arcade Subscription renewal for Game Zone Arcade,Entertainment
Theobroma Team dinner bill from Theobroma,Food
BookMyShow Booked show tickets via BookMyShow,Entertainment
Apollo Pharmacy Bought prescription drugs from Apollo Pharmacy,Medical
Cafe Coffee Day Food order Cafe Coffee Day for review meeting,Food
Bowling Alley Recreation event tickets Bowling Alley,Entertainment
1mg First aid supplies from 1mg,Medical
Walmart groceries and pantry items from Walmart,Food
Holiday Inn Guest house booking Holiday Inn,Accommodation
Xerox Shop Photocopy and printing at Xerox Shop,Other
HP Petrol Pump Toll charges paid at HP Petrol Pump,Travel
Bowling Alley Concert passes from Bowling Alley,Entertainment
